id: 578743107891630080, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743115290451969, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743116750057472, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578743119690207234, text: \"@HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/hh3sFOLGSo\" \ud83d\ude02 \ud83d\ude02 \ud83d\ude02
id: 578743122739474432, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578743128632348672, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743130293415937, text: \u201c@PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/SDP3Ovs4zt\u201d @MichelleObama
id: 578743132633825280, text: RT @reIatablee: and here we see the leader of our nation greeting Barack Obama http://t.co/5VnxEJfpda
id: 578743138950340608, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743145774477312, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578743146433130497, text: RT @ELTIEMPO: Vean el particular mensaje en ingl\u00e9s de Nicol\u00e1s Maduro para Barack Obama http://t.co/u6Z2gtScNz http://t.co/kpic8wmO1R
id: 578743146911166465, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743150715355136, text: \"@HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/4fd3dKOa8G\" first uptown funk.. now shake it off \ud83d\ude02\ud83d\ude02\ud83d\udd25
id: 578743161364729856, text: RT @Dory: and here we see the leader of our nation greeting Barack Obama http://t.co/7hl2DegEOg
id: 578743164204240896, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578743166108577792, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743168419565568, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578743169057218560, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578743182181183488, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
